time,step-size,{bd}.bdi.X,{bd}.bdi.Y,{src}.srci.Caf,{src}.srci.deltaf,{track}.tracki.Caf,{track}.tracki.X,{track}.tracki.Y,{track}.tracki.error,{track}.tracki.tolerance
0.0,0.0,0.0,0.0,800.0,0.0,800.0,0.0,0.0,0.0,0.2
0.01,0.01,0.009999999999999998,0.0,800.0,0.0,800.0,0.009999999999999998,0.0,9.999999999999996E-5,0.2
0.02,0.01,0.019999999999999997,0.0,800.0,0.0,800.0,0.019999999999999997,0.0,9.999999999999996E-5,0.2
0.03,0.01,0.029999999999999992,0.0,800.0,0.0,800.0,0.029999999999999992,0.0,9.99999999999999E-5,0.2
0.04,0.01,0.039999999999999994,0.0,800.0,0.0,800.0,0.039999999999999994,0.0,1.0000000000000005E-4,0.2
0.05,0.01,0.049999999999999996,0.0,800.0,0.0,800.0,0.049999999999999996,0.0,1.0000000000000005E-4,0.2
0.060000000000000005,0.01,0.06,0.0,800.0,0.0,800.0,0.06,0.0,1.0000000000000005E-4,0.2
0.07,0.01,0.06999999999999999,0.0,800.0,0.0,800.0,0.06999999999999999,0.0,9.99999999999999E-5,0.2
0.08,0.01,0.07999999999999999,0.0,800.0,0.0,800.0,0.07999999999999999,0.0,9.99999999999999E-5,0.2
0.09,0.01,0.08999999999999998,0.0,800.0,0.0,800.0,0.08999999999999998,0.0,9.99999999999999E-5,0.2
0.09999999999999999,0.01,0.09999999999999998,0.0,800.0,0.0,800.0,0.09999999999999998,0.0,9.99999999999999E-5,0.2
0.10999999999999999,0.01,0.10999999999999997,0.0,800.0,0.0,800.0,0.10999999999999997,0.0,9.99999999999999E-5,0.2
0.11999999999999998,0.01,0.11999999999999997,0.0,800.0,0.0,800.0,0.11999999999999997,0.0,9.99999999999999E-5,0.2
0.12999999999999998,0.01,0.12999999999999995,0.0,800.0,0.0,800.0,0.12999999999999995,0.0,9.999999999999963E-5,0.2
0.13999999999999999,0.01,0.13999999999999996,0.0,800.0,0.0,800.0,0.13999999999999996,0.0,1.0000000000000018E-4,0.2
0.15,0.01,0.14999999999999997,0.0,800.0,0.0,800.0,0.14999999999999997,0.0,1.0000000000000018E-4,0.2
0.16,0.01,0.15999999999999998,0.0,800.0,0.0,800.0,0.15999999999999998,0.0,1.0000000000000018E-4,0.2
0.17,0.01,0.16999999999999998,0.0,800.0,0.0,800.0,0.16999999999999998,0.0,1.0000000000000018E-4,0.2
0.18000000000000002,0.01,0.18,0.0,800.0,0.0,800.0,0.18,0.0,1.0000000000000018E-4,0.2
0.19000000000000003,0.01,0.19,0.0,800.0,0.0,800.0,0.19,0.0,1.0000000000000018E-4,0.2
0.20000000000000004,0.01,0.2,0.0,800.0,0.0,800.0,0.2,0.0,1.0000000000000018E-4,0.2
0.21000000000000005,0.01,0.21000000000000002,0.0,800.0,0.0,800.0,0.21000000000000002,0.0,1.0000000000000018E-4,0.2
0.22000000000000006,0.01,0.22000000000000003,0.0,800.0,0.0,800.0,0.22000000000000003,0.0,1.0000000000000018E-4,0.2
0.23000000000000007,0.01,0.23000000000000004,0.0,800.0,0.0,800.0,0.23000000000000004,0.0,1.0000000000000018E-4,0.2
0.24000000000000007,0.01,0.24000000000000005,0.0,800.0,0.0,800.0,0.24000000000000005,0.0,1.0000000000000018E-4,0.2
0.25000000000000006,0.01,0.25,0.0,800.0,0.0,800.0,0.25,0.0,9.999999999999907E-5,0.2
0.26000000000000006,0.01,0.26,0.0,800.0,0.0,800.0,0.26,0.0,1.0000000000000018E-4,0.2
0.2700000000000001,0.01,0.27,0.0,800.0,0.0,800.0,0.27,0.0,1.0000000000000018E-4,0.2
0.2800000000000001,0.01,0.28,0.0,800.0,0.0,800.0,0.28,0.0,1.0000000000000018E-4,0.2
0.2900000000000001,0.01,0.29000000000000004,0.0,800.0,0.0,800.0,0.29000000000000004,0.0,1.0000000000000018E-4,0.2
0.3000000000000001,0.01,0.30000000000000004,0.0,800.0,0.0,800.0,0.30000000000000004,0.0,1.0000000000000018E-4,0.2
0.3100000000000001,0.01,0.31000000000000005,0.0,800.0,0.0,800.0,0.31000000000000005,0.0,1.0000000000000018E-4,0.2
0.3200000000000001,0.01,0.32000000000000006,0.0,800.0,0.0,800.0,0.32000000000000006,0.0,1.0000000000000018E-4,0.2
0.3300000000000001,0.01,0.33000000000000007,0.0,800.0,0.0,800.0,0.33000000000000007,0.0,1.0000000000000018E-4,0.2
0.34000000000000014,0.01,0.3400000000000001,0.0,800.0,0.0,800.0,0.3400000000000001,0.0,1.0000000000000018E-4,0.2
0.35000000000000014,0.01,0.3500000000000001,0.0,800.0,0.0,800.0,0.3500000000000001,0.0,1.0000000000000018E-4,0.2
0.36000000000000015,0.01,0.3600000000000001,0.0,800.0,0.0,800.0,0.3600000000000001,0.0,1.0000000000000018E-4,0.2
0.37000000000000016,0.01,0.3700000000000001,0.0,800.0,0.0,800.0,0.3700000000000001,0.0,1.0000000000000018E-4,0.2
0.38000000000000017,0.01,0.3800000000000001,0.0,800.0,0.0,800.0,0.3800000000000001,0.0,1.0000000000000018E-4,0.2
0.3900000000000002,0.01,0.3900000000000001,0.0,800.0,0.0,800.0,0.3900000000000001,0.0,1.0000000000000018E-4,0.2
0.4000000000000002,0.01,0.40000000000000013,0.0,800.0,0.0,800.0,0.40000000000000013,0.0,1.0000000000000018E-4,0.2
0.4100000000000002,0.01,0.41000000000000014,0.0,800.0,0.0,800.0,0.41000000000000014,0.0,1.0000000000000018E-4,0.2
