	"Time"				"delta_l"			"delta_right"				"vel_l"			"vel_r"		
   0.0000000000000000e+00	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   3.6239624023437500e-05	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   4.5537948608398438e-05	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   6.0319900512695313e-05	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   1.4281272888183594e-04	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   2.4557113647460938e-04	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   2.9730796813964844e-03	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   3.2558441162109375e-03	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   3.3125877380371094e-03	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   3.3597946166992188e-03	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   3.5123825073242188e-03	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   3.5283565521240234e-03	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   3.5872459411621094e-03	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   3.6735534667968750e-03	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   3.7569999694824219e-03	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   3.7741661071777344e-03	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   3.8244724273681641e-03	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   3.8497447967529297e-03	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   3.8652420043945313e-03	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   4.0028095245361328e-03	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   4.2209625244140625e-03	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   4.2607784271240234e-03	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   6.7162513732910156e-03	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   1.0914564132690430e-02	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   1.0937690734863281e-02	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   1.4287948608398438e-02	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   2.5357961654663086e-02	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   3.3914804458618164e-02	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   4.4599294662475586e-02	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   5.4157257080078125e-02	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   6.4372062683105469e-02	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   7.3828697204589844e-02	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   8.5137367248535156e-02	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   9.4480276107788086e-02	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   1.0469460487365723e-01	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   1.1385726928710938e-01	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   1.2409853935241699e-01	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   1.3427996635437012e-01	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   1.4451980590820313e-01	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   1.5377783775329590e-01	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
   1.6403722763061523e-01	   2.0393349530647724e-03	   2.0298033404599690e-03	   0.0000000000000000e+00	   0.0000000000000000e+00	
